ind,weighted,fx,fn,sx,sn,day_count,RSI,vgo,success,profit
742,21,6,5,5,5,6,87.5,41.52472527472528,1,82.93333333333264
743,21,5,5,5,6,7,88.88888888888889,43.46007925132788,1,20.100000000000673
745,24,5,6,7,6,10,91.66666666666667,47.84166596408397,1,35.54285714285621
746,21,5,6,4,6,12,92.85714285714286,45.07272727272728,1,36.49999999999931
747,20,3,6,5,6,11,92.3076923076923,49.88333333333333,1,9.40000000000163
755,20,4,4,7,5,5,85.71428571428571,39.48909460691493,1,2.4444444444449154
758,22,6,5,4,7,7,77.77777777777777,43.437685950413226,0,0.0
759,25,6,5,6,8,7,77.77777777777777,49.48463356973995,0,0.0
760,22,4,6,4,8,6,87.5,52.57379263762243,0,0.0
761,22,4,6,4,8,6,87.5,53.16751097602162,0,0.0
762,22,2,7,4,9,6,87.5,53.10990619386601,0,0.0
763,20,3,6,4,7,4,75.0,51.57341494245227,0,0.0
764,15,4,4,4,3,1,60.0,49.32306566429379,0,0.0
765,15,4,4,4,3,1,60.0,47.52744328387998,0,0.0
871,25,5,2,11,7,1,52.38095238095238,31.048863636363638,1,4.133333333333766
876,28,11,7,9,1,3,55.55555555555556,35.32185237704306,1,44.466666666667095
897,38,11,8,10,9,6,66.66666666666666,56.377831325301194,1,68.88888888888944
898,39,10,9,10,10,8,70.0,52.108433734939766,1,11.361538461540643
899,37,10,8,10,9,9,71.42857142857143,53.69632954845523,1,3.433333333335842
900,37,10,8,10,9,11,73.91304347826087,53.63137047795089,1,15.700000000000713
901,35,10,8,8,9,12,75.0,55.39186691312384,1,14.100000000001334
905,23,1,7,4,11,11,73.91304347826087,62.83681118314425,1,8.399999999999519
909,20,4,4,5,7,4,61.11111111111111,49.93988487605607,1,22.499999999998632
910,23,5,6,5,7,5,64.70588235294117,46.34527898988024,1,27.436363636363925
911,23,5,6,5,7,6,68.75,44.11196731965463,1,47.69090909090945
912,22,5,6,5,6,4,64.28571428571428,44.45037600965556,1,71.61428571428763
913,21,6,6,3,6,5,69.23076923076923,26.609304084720126,1,28.69999999999928
957,13,3,4,2,4,3,80.0,44.335679857940136,1,12.161538461539223
958,13,3,4,2,4,3,80.0,40.758498224251646,1,6.038461538462325
960,11,2,2,4,3,3,80.0,39.49232623033993,1,8.014285714286196
961,8,2,2,1,3,3,80.0,40.9189497716895,1,8.071428571427841
977,7,2,3,1,1,1,60.0,35.521799740422054,1,4.75714285714357
991,12,4,2,3,3,1,57.14285714285714,34.88218509825579,1,11.399999999999189
992,10,4,2,1,3,2,66.66666666666666,33.40489668185375,1,6.122222222220142
993,10,3,4,0,3,3,71.42857142857143,30.89534723181002,1,6.842857142859149
1056,18,5,3,5,5,1,55.55555555555556,42.19736669723569,1,17.300000000000093
