ind,weighted,fx,fn,sx,sn,day_count,RSI,vgo,success,profit
1006,3,1,0,1,1,1,55.55555555555556,58.66420664206642,1,10.700000000000154
1030,11,2,3,3,3,4,75.0,57.85326086956522,1,30.27142857142895
1033,12,2,3,3,4,4,75.0,60.488331892826274,1,2.2181818181810087
1034,10,2,3,1,4,1,54.54545454545455,49.117236566643406,1,48.045454545454504
1054,19,5,4,5,5,2,60.0,53.31282383419689,1,8.327272727273183
1055,18,5,4,4,5,2,60.0,50.59585492227979,1,16.800000000000146
1056,19,5,5,4,5,1,54.54545454545455,51.22409326424871,1,59.45555555555537
1057,14,4,5,0,5,1,54.54545454545455,52.44170984455959,1,47.89999999999961
1058,13,4,5,0,4,1,54.54545454545455,53.860103626943,1,52.90000000000017
1073,5,1,2,0,2,1,66.66666666666666,39.384105960264904,1,13.533333333333175
1090,9,3,1,3,2,2,75.0,53.265524625267666,1,1.7666666666671382
1091,9,3,2,2,2,2,75.0,54.098101265822784,1,21.67142857142812
1092,9,3,2,2,2,2,75.0,57.974683544303794,1,18.12727272727299
1093,8,2,2,2,2,2,75.0,80.28671328671328,1,19.245454545454564
1094,6,2,2,0,2,1,60.0,37.21946683199008,1,33.86363636363576
1129,13,3,2,5,3,2,57.14285714285714,57.28260869565217,1,0.7333333333325864
1133,19,5,4,4,6,4,66.66666666666666,61.552795031055894,1,25.66666666666717
1134,20,5,5,4,6,3,63.63636363636363,61.809006211180126,1,45.02857142857142
1135,18,3,5,3,7,3,63.63636363636363,59.31288819875776,1,42.90000000000016
1136,20,4,6,3,7,4,70.0,56.80124223602485,1,48.59999999999975
1137,17,2,6,3,6,5,77.77777777777777,56.65372670807454,1,54.199999999999804
1138,14,3,4,3,4,3,71.42857142857143,53.579192546583855,1,32.49999999999975
1139,10,3,3,2,2,2,66.66666666666666,51.744,1,32.600000000000406
1140,8,3,3,0,2,2,66.66666666666666,53.136,1,32.26363636363638
1141,6,3,2,0,1,1,60.0,53.63529411764706,1,19.599999999999618
1142,4,1,2,0,1,2,66.66666666666666,44.35881998795906,1,2.1307692307692694
1143,3,0,2,0,1,3,80.0,50.2359068627451,1,0.5692307692306553
1145,1,0,1,0,0,2,66.66666666666666,50.0061274509804,1,7.98181818181809
1184,16,6,4,4,2,2,60.0,47.3006905210295,1,44.466666666667095
1198,28,6,5,9,8,7,81.81818181818181,36.18159708147547,1,14.333333333332865
1199,30,8,6,8,8,6,75.0,34.59262261856505,1,57.21428571428655
1200,30,6,8,8,8,6,75.0,35.80259424402108,1,87.30000000000015
1201,32,8,8,7,9,6,75.0,36.34373733279287,1,33.666666666667396
1202,32,8,8,7,9,6,75.0,37.57600324280503,1,41.73333333333362
1203,25,7,6,5,7,5,72.72727272727272,39.29671665991082,1,41.990909090908744
1204,20,7,5,3,5,4,70.0,38.99067693554925,1,37.200000000000564
1205,15,5,5,0,5,4,70.0,37.622,1,19.876923076923568
1206,14,4,5,0,5,5,72.72727272727272,37.378,1,1.1285714285713677
1207,11,2,4,1,4,3,63.63636363636363,36.891999999999996,1,18.23333333333288
1208,11,2,4,1,4,3,63.63636363636363,36.198,1,20.566666666667068
1236,10,2,2,3,3,2,66.66666666666666,58.21157495256166,1,3.133333333332766
1237,12,2,3,4,3,3,80.0,58.7618595825427,1,4.363636363636791
1238,12,2,3,4,3,3,80.0,61.61290322580645,1,4.090909090908035
1239,12,2,3,4,3,3,80.0,65.95351043643264,1,7.218181818181568
1240,13,3,3,3,4,4,66.66666666666666,45.08946322067594,1,11.545454545454081
1242,10,3,3,1,3,5,71.42857142857143,48.84666226040978,1,7.545454545454522
1254,17,5,2,5,5,5,85.71428571428571,51.097157964309325,1,1.871428571429412
1255,17,5,3,4,5,4,83.33333333333333,50.30403172504957,1,21.900000000000254
1256,20,6,5,4,5,3,71.42857142857143,48.46331791143423,1,73.7555555555558
1257,18,5,5,4,4,2,62.50000000000001,48.711169861202904,1,95.11111111111026
1258,15,5,5,3,2,3,66.66666666666666,47.405816259087906,1,115.19999999999975
1259,13,4,5,2,2,3,66.66666666666666,46.09054857898215,1,132.3333333333332
1260,10,3,5,0,2,4,70.0,47.901520158625246,1,26.82857142857098
1305,14,2,4,3,5,4,66.66666666666666,45.32343819229065,1,6.2909090909080145
1306,14,2,4,3,5,7,88.88888888888889,44.266725742135584,1,6.127272727273203
1307,14,2,4,3,5,6,87.5,41.28267611874169,1,18.200000000000436
1308,15,2,5,2,6,6,87.5,40.28799291094373,1,18.99999999999902
1309,16,3,5,2,6,6,87.5,40.558263181214,1,23.999999999999577
1310,10,1,3,2,4,3,80.0,40.992467877713786,1,11.03333333333345
1311,10,1,3,2,4,4,66.66666666666666,42.00265839610102,1,5.199999999999649
1312,10,1,3,2,4,3,60.0,37.59512612227447,1,22.533333333333296
1313,11,2,3,2,4,3,60.0,36.07310816588286,1,14.400000000001079
1315,9,2,2,3,2,2,50.0,34.84608807182556,1,7.000000000000339
1317,9,2,3,2,2,2,50.0,35.67122702009406,1,10.699999999999044
1350,23,5,5,7,6,8,80.0,48.577473958333336,1,6.900000000000794
1353,25,7,4,7,7,8,80.0,49.046223958333336,1,12.066666666666892
1354,25,7,5,6,7,8,80.0,48.53190104166667,1,12.050000000000116
1355,22,5,5,5,7,8,80.0,45.69986979166667,1,22.199999999999996
1357,28,4,7,8,9,11,84.61538461538461,48.4375,1,3.672727272726606
1358,25,4,6,7,8,10,91.66666666666667,49.99674479166667,1,18.000000000000238
1359,23,4,5,7,7,6,75.0,53.56119791666667,1,41.09999999999947
1360,17,4,4,5,4,6,75.0,54.892578125,1,22.299999999999542
1361,18,4,5,5,4,4,66.66666666666666,54.46289062499999,1,56.199999999999584
1362,19,5,5,5,4,5,69.23076923076923,54.15364583333333,1,43.15555555555517
1363,18,5,5,4,4,5,69.23076923076923,45.16871987145152,1,36.300000000000225
1364,14,5,4,3,2,4,66.66666666666666,48.47884306373862,1,22.499999999999744
1393,31,6,8,9,8,10,77.77777777777777,52.59960809928151,1,10.185714285714242
1394,29,6,7,9,7,10,77.77777777777777,47.37892948173322,1,7.800000000000029
1397,25,9,5,4,7,10,77.77777777777777,53.38006230529595,1,10.385714285714442
1398,23,8,5,3,7,11,78.94736842105263,54.381195128858685,0,0.0
1399,23,4,8,4,7,9,73.68421052631578,53.2512036250354,0,0.0
1400,21,3,7,4,7,9,73.68421052631578,53.0940243557066,1,7.3076923076931255
1401,23,3,7,4,9,9,73.68421052631578,53.00481450014159,0,0.0
1402,16,3,4,4,5,6,68.75,51.465590484282075,1,9.666666666667822
1452,17,6,2,4,5,2,58.33333333333333,55.05964730290456,1,8.522222222222542
1453,16,6,3,3,4,3,63.63636363636363,55.754668049792535,1,30.700000000000173
1454,15,4,6,2,3,2,60.0,50.2591599642538,1,55.899999999999835
1455,14,3,6,2,3,2,60.0,54.794459338695255,1,44.4923076923065
1456,14,3,6,2,3,2,60.0,54.04602323503127,1,52.40769230769216
1457,10,3,4,1,2,2,60.0,53.87399463806971,1,42.60000000000041
1476,9,4,3,1,1,3,63.63636363636363,61.48493975903614,0,0.0
1477,6,3,3,0,0,2,58.33333333333333,61.34939759036144,0,0.0
1506,11,2,4,2,3,1,60.0,49.68020022246941,1,16.83333333333259
1507,11,2,4,2,3,2,75.0,47.8615127919911,1,23.966666666667138
1522,16,3,3,5,5,5,85.71428571428571,42.03474535935269,1,4.700000000000815
1525,16,4,3,3,6,5,77.77777777777777,41.03046168491195,1,6.199999999999539
1526,13,3,3,3,4,4,75.0,44.59433509361498,0,0.0
1527,13,3,3,3,4,3,66.66666666666666,48.60057609217475,0,0.0
1528,10,3,3,2,2,3,66.66666666666666,48.25492078732597,0,0.0
1529,10,3,3,2,2,3,66.66666666666666,47.916466634661546,0,0.0
1530,10,3,3,2,2,2,62.50000000000001,47.71723475756121,0,0.0
1531,9,3,3,1,2,2,62.50000000000001,47.20355256841094,0,0.0
1532,7,2,3,0,2,2,62.50000000000001,47.174747959673546,0,0.0
1533,4,2,1,0,1,2,62.50000000000001,47.25876140182429,1,7.285714285715228
1571,13,3,3,3,4,3,63.63636363636363,39.01203819012038,0,0.0
1572,15,3,4,3,5,2,58.33333333333333,53.29106280193236,1,86.82857142857104
1596,9,3,4,0,2,4,62.50000000000001,49.00882271850014,1,66.466666666668
1599,13,2,3,4,4,4,60.0,52.89495450785774,1,23.733333333333384
1600,13,3,4,2,4,5,63.15789473684211,52.82740556934106,1,45.399999999999885
1601,10,2,4,1,3,5,63.15789473684211,53.75930521091811,1,44.29999999999934
1602,7,0,4,0,3,5,63.15789473684211,54.18389853873725,1,72.5000000000009
1603,6,1,4,0,1,6,65.0,54.043286462641305,1,37.89090909090853
1640,11,2,3,3,3,1,57.14285714285714,46.88311688311689,1,1.7999999999995797
1641,10,1,3,2,4,1,57.14285714285714,46.486291486291485,1,2.80000000000058
1642,10,1,3,2,4,3,80.0,46.04617604617604,1,2.300000000000635
1644,8,2,2,1,3,1,57.14285714285714,53.99088145896657,1,25.500000000000522
1645,4,2,1,1,0,1,57.14285714285714,54.63525835866262,1,6.672727272727386
1667,25,7,3,7,8,7,88.88888888888889,48.19639278557114,1,9.000000000000119
1668,27,7,6,7,7,7,88.88888888888889,48.8810955243821,1,101.89999999999921
1669,26,7,7,6,6,8,90.0,49.31863727454909,1,74.44999999999924
1670,25,7,7,5,6,11,92.3076923076923,51.970628415300546,1,45.30000000000034
1671,28,6,8,8,6,11,92.3076923076923,55.32445355191257,1,8.823076923076822
1672,25,6,8,5,6,11,92.3076923076923,54.41939890710383,1,13.67692307692403
1683,18,4,3,5,6,4,75.0,49.71049046321526,1,21.100000000000563
1684,18,5,5,2,6,4,75.0,48.09945504087194,1,53.53333333333321
1685,19,5,6,2,6,4,75.0,47.52203389830509,1,62.714285714284834
1686,16,2,6,2,6,4,75.0,47.26101694915255,1,27.40000000000076
1687,16,2,6,2,6,5,85.71428571428571,47.074576271186444,1,40.99999999999993
1688,16,2,6,2,6,5,85.71428571428571,46.90169491525423,1,39.00000000000014
1689,13,2,4,2,5,4,83.33333333333333,47.17627118644068,1,13.727272727274142
1710,5,0,1,2,2,2,66.66666666666666,39.077253218884124,1,34.433333333333536
1711,7,2,1,2,2,4,66.66666666666666,38.85073915116834,1,2.9000000000001247
1712,6,2,1,1,2,3,60.0,37.03385789222699,1,17.957142857142337
1713,6,2,2,0,2,3,60.0,36.32570338578922,1,28.63333333333218
1714,8,3,2,1,2,2,75.0,33.85789222699094,1,42.06666666666692
1715,9,3,3,1,2,1,60.0,53.897637795275585,1,46.83333333333262
1716,5,2,3,0,0,1,60.0,51.50481189851269,1,49.866666666666944
1717,4,1,3,0,0,1,60.0,50.726159230096236,1,40.399999999999324
1731,13,3,3,3,4,3,71.42857142857143,54.5701581027668,1,23.900000000000034
1732,13,3,3,3,4,3,71.42857142857143,53.37450592885376,1,22.25714285714386
1733,13,3,4,2,4,3,71.42857142857143,51.492890995260666,1,54.26666666666691
1734,14,3,5,2,4,4,83.33333333333333,50.86729857819905,1,24.599999999999067
1737,14,2,4,3,5,5,85.71428571428571,48.67298578199052,1,12.766666666667037
1738,8,2,2,1,3,3,80.0,48.473933649289094,1,8.263636363636806
1769,7,2,2,2,1,1,54.54545454545455,40.216724204065976,1,7.9142857142855405
1770,7,2,2,2,1,1,54.54545454545455,39.79286536248562,1,11.371428571429476
1785,40,9,8,11,12,10,77.77777777777777,40.82315872390705,1,37.688888888888215
1786,44,10,10,12,12,12,87.5,39.580543521071284,1,76.20000000000071
1787,42,10,10,11,11,11,86.66666666666667,55.50720288115246,1,70.11818181818174
1788,40,11,10,9,10,11,86.66666666666667,57.19087635054021,0,0.0
1789,37,11,10,6,10,12,87.5,58.71848739495798,1,78.50000000000024
1790,34,9,10,5,10,12,87.5,48.366524419156,1,84.69999999999978
1791,29,6,10,3,10,13,88.23529411764706,55.88381330685203,1,61.111111111110674
1799,12,2,3,3,4,2,60.0,47.72591857000993,1,33.53333333333208
1800,12,2,4,3,3,2,60.0,48.885302879841106,1,41.09999999999947
1801,13,3,4,3,3,2,60.0,50.38480635551142,1,36.03846153846235
1802,12,3,4,2,3,1,55.55555555555556,47.816933638443935,1,45.50000000000054
1804,12,4,4,1,3,1,57.14285714285714,52.22883295194508,1,53.19999999999992
1805,9,3,3,0,3,1,57.14285714285714,51.236949614162505,1,1.346153846154552
1826,17,3,3,6,5,3,57.89473684210526,48.046059733717165,0,0.0
1859,11,2,4,1,4,2,56.25,46.521801082929606,1,43.100000000000364
1860,13,2,6,1,4,7,68.42105263157895,51.43337819650067,1,18.799999999999926
1871,19,5,3,5,6,4,66.66666666666666,46.79135338345865,0,0.0
1872,22,5,5,5,7,3,61.53846153846154,47.30075187969925,0,0.0
1873,22,5,6,5,6,1,53.33333333333333,47.83458646616542,0,0.0
1874,18,5,7,2,4,1,53.33333333333333,33.09126594700687,0,0.0
1875,19,6,7,2,4,3,61.53846153846154,37.990677134445534,0,0.0
1876,14,2,7,1,4,2,58.33333333333333,38.46418056918547,0,0.0
1877,13,2,7,0,4,1,53.846153846153854,37.576054955839055,0,0.0
1927,13,3,1,4,5,4,64.28571428571428,41.2146545365134,1,1.4999999999998348
1928,13,3,2,4,4,2,57.14285714285714,39.988935333169415,1,18.599999999999728
1929,16,3,4,4,5,1,53.846153846153854,39.41849028768134,1,50.911111111110465
1930,17,4,4,4,5,2,57.14285714285714,37.94443078436194,1,38.75555555555521
1931,20,4,7,4,5,3,60.0,56.41164241164242,1,77.5999999999999
1932,20,5,7,3,5,2,56.25,55.21205821205821,1,103.80000000000055
1945,15,1,4,5,5,3,61.53846153846154,37.47503328894807,1,16.26666666666665
1946,19,2,5,6,6,3,61.53846153846154,39.35918774966711,1,9.644444444444344
1947,19,3,5,4,7,5,72.72727272727272,42.228695073235684,1,6.399999999999739
1950,21,4,5,5,7,6,80.0,41.59287616511318,1,21.49999999999985
1951,21,4,5,5,7,5,77.77777777777777,40.750665778961384,1,11.455555555555108
1952,23,4,7,5,7,5,77.77777777777777,40.054926764314246,1,15.499999999999403
1953,20,4,5,5,6,2,66.66666666666666,40.376165113182424,1,17.766666666666488
1954,20,5,5,4,6,1,57.14285714285714,37.020639147802925,1,44.933333333332385
1955,16,5,4,4,3,1,57.14285714285714,50.23514851485148,1,51.72727272727329
2006,28,8,5,9,6,4,61.11111111111111,28.167607468519325,0,0.0
2007,31,9,7,10,5,5,64.70588235294117,31.618394870661064,0,0.0
2008,33,10,7,10,6,3,57.89473684210526,32.83550740658855,0,0.0
2009,30,10,8,7,5,3,57.89473684210526,33.33296484634093,0,0.0
2010,25,10,9,1,5,3,57.89473684210526,35.47493705653468,0,0.0
2082,7,0,2,2,3,2,66.66666666666666,46.584327086882446,1,0.8333333333332416
2085,15,3,3,5,4,1,60.0,44.646507666098806,1,15.400000000000968
2086,13,3,3,3,4,1,60.0,42.55962521294719,1,23.333333333334096
2087,13,4,3,2,4,1,60.0,61.461693548387096,1,18.000000000000238
2088,13,3,4,2,4,2,66.66666666666666,71.54742765273312,1,4.79090909090818
2089,12,2,4,2,4,2,66.66666666666666,68.78215434083602,1,9.627272727272818
2090,10,2,3,2,3,1,57.14285714285714,50.35103244837759,1,23.599999999999177
2091,10,2,3,2,3,2,62.50000000000001,61.642575558475684,1,1.60000000000049
2140,20,6,7,2,5,1,57.14285714285714,39.43778538812786,1,93.77777777777818
2141,16,4,6,1,5,3,80.0,37.15753424657534,1,29.71428571428514
2142,14,3,6,0,5,3,80.0,37.47146118721461,1,34.207692307692824
2143,11,2,5,0,4,2,75.0,35.79337899543379,1,25.933333333333366
2157,12,4,2,3,3,1,60.0,46.18127147766323,1,6.800000000000139
2158,12,4,2,3,3,2,75.0,44.47164948453608,1,13.499999999999623
2159,12,3,3,3,3,2,75.0,45.43384879725086,1,41.63333333333297
2160,12,3,4,3,2,1,60.0,49.57903780068729,1,72.79999999999953
2161,10,3,4,3,0,3,71.42857142857143,55.77413479052823,1,41.86666666666672
2162,7,3,3,1,0,5,77.77777777777777,43.95282344531808,1,1.2000000000000899
2172,2,0,1,1,0,1,55.55555555555556,49.98570407433881,1,35.199999999999676
2174,2,1,1,0,0,2,58.33333333333333,54.50660180681028,1,12.699999999999934
2240,33,7,7,9,10,7,81.81818181818181,43.59382903388973,1,35.60000000000008
2241,35,9,7,9,10,7,81.81818181818181,45.245321193727875,1,23.166666666667446
2244,27,7,7,7,6,7,76.92307692307693,53.772943575798784,1,78.50000000000024
2245,27,7,8,6,6,7,76.92307692307693,55.10876954452753,1,43.09999999999925
2252,13,2,4,2,5,5,69.23076923076923,45.333683657383084,1,41.84444444444546
2253,12,2,5,1,4,5,69.23076923076923,45.856542301629005,1,42.70909090909214
2254,6,2,2,1,1,2,60.0,44.984235417761425,1,28.200000000000447
2255,6,1,2,1,2,1,55.55555555555556,42.908565423016285,1,27.599999999999845
2256,7,1,3,1,2,2,60.0,43.26852338413032,1,36.2714285714294
2257,6,1,3,0,2,2,60.0,43.73620599054125,1,10.999999999999899
2258,5,1,2,0,2,1,54.54545454545455,45.24435102469784,1,4.709090909090774
2260,4,0,2,0,2,2,62.50000000000001,48.15188528943176,1,11.945454545454481
2279,19,4,4,7,4,4,70.0,51.342794759825324,1,2.9000000000001247
2280,17,3,4,6,4,2,58.33333333333333,53.94468704512373,1,32.999999999998586
2281,14,3,4,2,5,2,58.33333333333333,59.257575757575765,1,36.19999999999956
2282,16,5,4,2,5,1,53.846153846153854,59.06909090909092,1,54.74444444444448
2304,10,2,3,2,3,3,66.66666666666666,38.21633237822349,1,34.80000000000039
2305,10,2,3,2,3,2,62.50000000000001,38.689111747851,1,62.900000000000176
2306,10,2,4,2,2,2,62.50000000000001,40.62320916905444,1,79.34285714285672
2307,9,3,3,2,1,2,62.50000000000001,45.15998089780325,1,34.600000000000186
2308,7,3,3,0,1,1,55.55555555555556,45.5730659025788,1,53.10000000000037
2309,6,3,3,0,0,1,55.55555555555556,47.36150907354346,1,46.95714285714359
2310,3,1,2,0,0,1,55.55555555555556,47.50477554918815,1,46.06666666666648
2329,15,2,3,5,5,3,71.42857142857143,51.256329113924046,1,0.8285714285705126
2335,19,5,3,5,6,3,71.42857142857143,51.97384806973848,1,7.5499999999995016
2336,19,5,3,5,6,3,71.42857142857143,49.8225404732254,1,19.599999999999618
2337,18,5,4,4,5,3,71.42857142857143,50.317559153175594,1,31.04444444444465
2338,18,5,5,3,5,4,83.33333333333333,48.477584059775836,1,46.40000000000089
