weighted,fx,fn,sx,sn,day_count,RSI,vgo,success,profit
8,0,4,0,4,5,60.869565217391305,16.94584003215434,1,10.254545454546626
21,7,5,5,4,4,59.09090909090909,9.899015273311896,1,65.80000000000253
18,6,6,2,4,6,62.50000000000001,16.364382368703108,1,32.89999999999793
15,5,6,0,4,6,62.50000000000001,17.012828242229368,1,73.74285714285777
57,14,14,12,17,8,68.18181818181819,39.57588926444552,1,196.49999999999946
56,13,13,13,17,10,75.0,34.60647030420087,1,181.16666666666558
39,10,13,7,9,5,66.66666666666666,39.911683068382544,1,158.46363636363714
28,8,10,5,5,1,53.33333333333333,44.27023581899299,1,184.31111111111065
43,11,13,8,11,6,71.42857142857143,37.878501135503406,1,176.64444444444482
48,13,8,12,15,13,80.95238095238095,19.170046004430056,1,8.20000000000043
46,14,8,9,15,11,73.91304347826087,37.23445143256464,1,37.400000000000766
39,7,13,8,11,14,75.0,40.49935744446485,1,16.11428571428597
28,4,10,6,8,11,72.0,42.56976317238848,1,2.0571428571436456
44,11,13,9,11,9,71.42857142857143,35.24589447938504,1,142.40000000000032
40,9,13,7,11,9,71.42857142857143,34.5724143955276,1,149.0444444444461
29,5,4,11,9,5,59.25925925925926,34.60027263250742,1,7.200000000000539
18,4,3,5,6,3,57.14285714285714,49.566473988439306,1,5.971428571427406
18,4,3,5,6,6,66.66666666666666,48.0796403339756,1,25.257142857142423
19,5,4,5,5,2,57.14285714285714,44.37807749946479,1,33.199999999999896
22,7,7,3,5,6,75.0,38.14600727895526,1,24.599999999999067
23,7,6,5,5,4,64.28571428571428,41.44026974951831,1,51.86666666666673
29,9,3,9,8,3,55.55555555555556,30.421942263864267,1,2.0999999999982144
30,10,5,8,7,5,60.0,30.111737148645222,1,41.65555555555534
31,10,9,6,6,11,72.0,28.8525576095214,1,30.371428571427384
26,10,6,6,4,8,68.18181818181819,27.94758166624462,1,38.56666666666398
42,12,6,12,12,6,58.33333333333333,49.19583290567587,1,20.700000000000163
41,13,6,10,12,9,62.16216216216216,47.64343631325054,1,0.6000000000017103
45,16,7,10,12,12,67.64705882352942,44.954839371856714,1,37.400000000000766
44,11,12,9,12,16,75.0,38.77955844446935,1,3.8285714285724026
49,14,13,10,12,14,73.33333333333333,39.08703684696705,1,34.600000000000186
38,8,10,9,11,13,70.96774193548387,39.70581642945197,1,24.246153846154694
31,9,8,5,9,12,70.0,41.37453771153199,1,28.933333333334144
0,0,0,0,0,1,53.33333333333333,30.380211273284413,1,0.2999999999997449
49,15,12,10,12,11,66.66666666666666,42.40685620445448,1,116.19999999999963
