weighted,fx,fn,sx,sn,day_count,RSI,vgo,success,profit
-19,-5,-4,-4,-6,-5,30.769230769230774,53.21221313637563,1,16.499999999999293
-14,-4,-3,-2,-5,-3,43.47826086956522,52.6248627881449,1,15.799999999999148
-13,-4,-3,-2,-4,-3,43.47826086956522,54.75644895718991,1,16.999999999998128
-5,-2,-3,0,0,-1,46.666666666666664,46.28063431042768,1,4.700000000001925
-13,-4,-4,-2,-3,-2,45.45454545454546,55.50974204171241,1,43.76666666666473
-27,-8,-8,-7,-4,-6,35.0,29.976482037142162,1,55.12307692307594
-26,-8,-8,-6,-4,-9,26.31578947368422,28.3375233152218,1,43.376923076923205
-18,-6,-4,-4,-4,-8,27.77777777777777,29.169167139729137,1,35.199999999999676
-27,-7,-8,-8,-4,-5,38.095238095238095,31.4954180520639,1,88.90000000000065
-16,-5,-4,-4,-3,-11,23.80952380952381,34.29543245869777,1,16.83333333333259
-26,-5,-6,-8,-7,-1,47.05882352941176,30.836167800453516,1,68.62307692307779
-24,-5,-6,-6,-7,-4,35.71428571428572,31.67274052478134,1,48.15555555555573
-22,-6,-6,-3,-7,-1,47.05882352941176,32.4267087787496,1,98.30000000000005
-21,-8,-8,-3,-2,-3,42.857142857142854,42.180793769160665,1,92.60000000000046
-12,-4,-2,-4,-2,-1,47.05882352941176,49.67731385588139,1,10.461538461536968
-10,-2,-2,-3,-3,-2,44.44444444444444,42.580601645757454,1,2.1333333333339866
-4,-2,0,-2,0,-2,46.15384615384615,44.51135122010441,1,19.200000000001438
-12,-3,-5,-2,-2,-1,44.44444444444444,42.4233206590621,1,24.333333333332874
-12,-3,-3,-2,-4,-2,42.857142857142854,39.920688873782005,1,3.5000000000007248
-10,-3,-4,-1,-2,-1,47.05882352941176,41.958471760797345,1,41.50000000000098
-8,-3,-4,-1,0,-2,44.44444444444444,23.781441911331708,1,32.90000000000015
-8,-3,-4,-1,0,-2,44.44444444444444,29.24645238502308,1,27.399999999999647
-10,-2,-4,-2,-2,-1,47.05882352941176,42.954795021961935,1,47.933333333334275
-21,-5,-10,-2,-4,-5,36.8421052631579,33.66707971912433,1,58.10000000000093
-16,-5,-8,-2,-1,-2,45.45454545454546,36.19857404374217,1,110.78888888888861
-53,-7,-18,-10,-18,-2,47.826086956521735,41.26588628762542,1,28.799999999999937
-51,-8,-21,-10,-12,-6,42.857142857142854,40.7943143812709,1,40.000000000000036
-47,-13,-18,-10,-6,-8,39.473684210526315,36.21304347826087,1,49.514285714287176
-50,-12,-18,-10,-10,-5,43.90243902439024,38.13210702341137,1,116.13333333333475
-38,-8,-5,-14,-11,-10,36.8421052631579,46.99331345441403,1,25.857142857141913
-45,-8,-12,-14,-11,-10,36.8421052631579,45.728967909800524,1,46.385714285712695
-43,-9,-11,-14,-9,-16,25.0,44.77623590633131,1,55.899999999999835
-48,-14,-11,-14,-9,-15,27.272727272727266,42.67562879444926,1,128.69999999999936
-35,-9,-11,-8,-7,-12,30.0,38.84345186470078,1,28.000000000001357
-45,-14,-11,-13,-7,-15,27.272727272727266,40.69254119687771,1,136.40000000000097
-27,-6,-6,-8,-7,-1,48.14814814814815,54.14411366711772,1,52.61428571428528
-30,-5,-8,-9,-8,-8,27.77777777777777,41.44922461230615,1,30.03333333333469
-33,-9,-10,-9,-5,-6,37.5,50.27163581790896,1,77.03846153846116
-26,-9,-10,-6,-1,-7,34.78260869565217,51.47773886943472,1,80.06153846153774
-40,-10,-11,-9,-10,-9,28.57142857142857,46.235117558779386,1,57.79999999999896
-12,-5,0,-7,0,-5,41.379310344827594,42.021384928716905,1,10.009090909093299
-19,-9,-5,-5,0,-6,36.36363636363636,51.738369184592294,1,95.25454545454615
-14,-9,0,-5,0,-6,36.36363636363636,50.59365203761755,1,103.03636363636403
-11,-7,0,-4,0,-7,34.78260869565217,48.74118338557994,1,79.09999999999862
-39,-12,-9,-9,-9,-10,25.0,43.5327663831916,1,101.46666666666526
-27,-3,-5,-11,-8,-1,47.826086956521735,42.70154167335796,1,7.199999999998319
-12,-4,-3,-3,-2,-4,30.0,37.98548426445475,1,24.999999999999467
-6,-3,-3,0,0,-2,43.75,48.146917681801405,1,41.4636363636367
-6,-3,-3,0,0,-1,46.666666666666664,49.599483204134366,1,51.39090909090926
