ind,weighted,fx,fn,sx,sn,day_count,RSI,vgo,success,profit
1231,-5,-3,-1,-1,0,-2,37.5,42.40074441687345,1,27.099999999998793
1232,-5,-3,-1,-1,0,-2,37.5,40.890198511166254,1,27.046153846154162
1276,-18,-2,-5,-3,-8,-1,47.368421052631575,44.88124778447359,1,41.93333333333271
1278,-22,-3,-9,-2,-8,-2,44.44444444444444,46.16979794399149,1,54.30000000000046
1279,-23,-5,-9,-2,-7,-2,44.44444444444444,45.69833392414038,0,0.0
1280,-21,-5,-11,-2,-3,-3,41.17647058823529,46.043956043956044,1,31.972727272726598
1281,-19,-4,-11,-2,-2,-3,41.17647058823529,46.56859269762496,1,6.199999999999539
1330,-6,-2,-2,-1,-1,-4,16.666666666666657,46.12279511533243,0,0.0
1331,-6,-2,-2,-1,-1,-4,16.666666666666657,44.33514246947083,0,0.0
1332,-5,-2,-2,-1,0,-4,16.666666666666657,45.386702849389415,0,0.0
1413,-13,-4,-3,-4,-2,-1,46.15384615384615,45.690188360978354,1,83.86666666666653
1414,-13,-5,-3,-4,-1,-1,46.15384615384615,43.779870677537254,1,36.50000000000042
1415,-14,-4,-4,-4,-2,-2,41.66666666666667,52.331606217616574,1,34.91818181818207
1416,-13,-4,-4,-3,-2,-2,41.66666666666667,52.83863804589194,1,37.59999999999985
1417,-9,-4,-3,-2,0,-3,36.36363636363636,50.960399703923024,1,46.53333333333287
1432,-28,-6,-6,-8,-8,-6,31.25,60.4947475432057,1,86.70000000000067
1433,-30,-8,-6,-8,-8,-7,29.411764705882362,57.327698309492845,1,32.90000000000015
1434,-29,-8,-6,-8,-7,-6,33.33333333333333,56.599805888062114,1,52.49999999999977
1435,-31,-8,-8,-8,-7,-7,29.411764705882362,55.60821740537043,1,56.29999999999913
1436,-25,-8,-7,-8,-2,-7,29.411764705882362,54.51633775477192,1,59.09999999999971
1437,-24,-8,-7,-8,-1,-7,29.411764705882362,54.071497897120665,1,76.10000000000005
1438,-19,-7,-4,-7,-1,-5,35.294117647058826,52.15140731154966,1,53.69230769230793
1439,-10,-5,-2,-3,0,-2,43.75,53.785300506879075,1,60.733333333333746
1440,-7,-4,-1,-2,0,-2,43.75,51.380970011106996,1,48.80000000000106
1441,-6,-4,0,-2,0,-4,37.5,48.95223991114403,1,35.90000000000093
1465,-5,-2,-2,0,-1,-1,42.857142857142854,45.05357142857143,1,2.6307692307692143
1483,-18,-4,-2,-7,-5,-2,42.857142857142854,41.99333800841515,1,11.866666666666692
1484,-21,-5,-4,-7,-5,-2,42.857142857142854,42.301893408134646,1,19.528571428572008
1486,-28,-6,-6,-8,-8,-3,36.36363636363636,41.942496493688644,1,10.266666666667312
1488,-30,-6,-8,-8,-8,-5,22.222222222222214,41.369214586255254,1,1.5909090909083101
1489,-26,-5,-7,-7,-7,-4,30.0,40.739831697054704,1,15.699999999999603
1490,-27,-6,-6,-8,-7,-4,30.0,41.38499298737728,1,36.50000000000042
1491,-24,-6,-6,-7,-5,-4,30.0,42.225514116416875,1,39.59999999999964
1492,-21,-6,-5,-7,-3,-4,30.0,37.23145780051151,1,31.490909090908794
1493,-19,-5,-5,-6,-3,-3,33.33333333333333,36.3650895140665,1,31.40000000000032
1494,-15,-5,-3,-5,-2,-3,33.33333333333333,35.08312020460359,1,40.20000000000024
1495,-15,-5,-3,-5,-2,-2,39.99999999999999,34.325447570332486,1,64.4
1496,-10,-4,-3,-3,0,-2,39.99999999999999,34.14641943734015,1,47.338461538462
1497,-6,-3,-3,0,0,-1,44.44444444444444,34.512468030690535,1,46.799999999999066
1499,-3,-3,0,0,0,-1,42.857142857142854,56.9696029776675,1,50.29999999999979
1544,-15,-4,-3,-5,-3,-1,42.857142857142854,61.4427570093458,1,41.69999999999896
1586,-39,-8,-10,-11,-10,-4,38.888888888888886,42.40147783251231,1,85.60000000000012
1587,-32,-8,-9,-7,-8,-3,42.10526315789474,50.07337526205451,0,0.0
1588,-32,-9,-9,-6,-8,-2,45.00000000000001,50.640723270440255,0,0.0
1589,-29,-9,-8,-4,-8,-3,42.857142857142854,50.71671907756813,0,0.0
1590,-28,-10,-8,-4,-6,-3,42.857142857142854,49.776980261471415,0,0.0
1591,-20,-8,-8,-2,-2,-2,45.00000000000001,49.40912586516278,1,58.985714285714195
1609,-6,-3,-2,-1,0,-1,46.15384615384615,49.4841735052755,1,0.8999999999992347
1616,-8,-4,-1,-3,0,-2,43.75,49.13859338061465,1,27.444444444444382
1617,-9,-5,-1,-3,0,-4,35.71428571428572,49.21247044917257,1,42.49999999999976
1630,-12,-3,-4,-3,-2,-3,38.46153846153846,51.02257024412713,0,0.0
1631,-11,-4,-4,-2,-1,-3,38.46153846153846,48.64598364598365,1,33.69999999999984
1632,-10,-4,-4,-2,0,-4,33.33333333333333,48.754208754208754,0,0.0
1633,-8,-3,-3,-2,0,-2,39.99999999999999,48.72053872053872,1,15.899999999999803
1655,-9,-2,-2,-3,-2,-1,44.44444444444444,61.80282796543598,0,0.0
1656,-10,-4,-2,-2,-2,-1,44.44444444444444,62.26630007855459,0,0.0
1751,-12,-2,-2,-4,-4,-2,41.66666666666667,33.25727944372012,1,7.114285714285851
1752,-14,-2,-4,-4,-4,-3,38.46153846153846,35.48239895697523,1,0.5333333333334966
1753,-15,-4,-4,-4,-3,-4,35.71428571428572,35.89960886571056,0,0.0
1754,-16,-4,-4,-4,-4,-4,35.71428571428572,41.55292479108635,0,0.0
1755,-14,-4,-4,-4,-2,-4,35.71428571428572,47.05537306428907,0,0.0
1756,-15,-5,-4,-4,-2,-4,35.71428571428572,48.68371656499296,0,0.0
1757,-11,-4,-1,-4,-2,-3,38.46153846153846,45.840262582056894,1,16.618181818182087
1758,-11,-4,-1,-4,-2,-3,38.46153846153846,43.99786324786324,0,0.0
1759,-11,-4,-2,-3,-2,-4,33.33333333333333,42.97435897435897,0,0.0
1760,-9,-4,-2,-3,0,-4,33.33333333333333,43.47863247863248,0,0.0
