ind,weighted,fx,fn,sx,sn,day_count,RSI,vgo,success,profit
217,43,11,13,8,11,6,71.42857142857143,37.878501135503406,1,176.64444444444482
218,39,10,13,7,9,5,66.66666666666666,39.911683068382544,1,158.46363636363714
219,28,8,10,5,5,1,53.33333333333333,44.27023581899299,1,184.31111111111065
240,38,10,4,12,12,2,53.33333333333333,46.391037186142604,1,49.666666666665634
274,24,7,5,5,7,4,70.0,32.77702778715266,1,13.999999999998458
275,23,7,5,4,7,5,72.72727272727272,30.014062324220948,1,5.999999999999339
276,22,5,5,5,7,6,80.0,30.78411519856002,1,14.799999999999258
277,20,4,5,4,7,5,72.72727272727272,31.626167172910343,1,39.199999999999235
288,23,6,5,6,6,3,58.82352941176471,35.26205874427378,1,59.00000000000016
289,20,6,5,5,4,6,65.0,36.397197520883864,1,31.95000000000059
290,21,7,5,5,4,4,59.09090909090909,9.899015273311896,1,65.80000000000253
291,21,6,6,5,4,4,59.09090909090909,14.893656216505894,1,48.50000000000021
292,18,6,6,2,4,6,62.50000000000001,16.364382368703108,1,32.89999999999793
293,15,5,6,0,4,6,62.50000000000001,17.012828242229368,1,73.74285714285777
294,10,2,4,0,4,6,62.50000000000001,17.168743301178992,1,7.818181818182168
295,8,0,4,0,4,5,60.869565217391305,16.94584003215434,1,10.254545454546626
310,48,13,8,12,15,13,80.95238095238095,19.170046004430056,1,8.20000000000043
311,46,14,8,9,15,11,73.91304347826087,37.23445143256464,1,37.400000000000766
312,44,11,13,9,11,9,71.42857142857143,35.24589447938504,1,142.40000000000032
313,40,9,13,7,11,9,71.42857142857143,34.5724143955276,1,149.0444444444461
314,38,9,14,4,11,15,77.77777777777777,35.26074423480084,0,0.0
315,39,7,13,8,11,14,75.0,40.49935744446485,1,16.11428571428597
316,28,4,10,6,8,11,72.0,42.56976317238848,1,2.0571428571436456
327,29,5,4,11,9,5,59.25925925925926,34.60027263250742,1,7.200000000000539
328,23,5,4,7,7,5,59.25925925925926,35.77980915724481,0,0.0
329,25,8,4,7,6,6,61.53846153846154,36.75607409189319,0,0.0
330,29,7,9,7,6,6,61.53846153846154,36.94892149787506,0,0.0
331,29,7,9,7,6,7,64.0,37.3971614144816,0,0.0
332,26,7,8,5,6,7,64.0,35.77660171598108,0,0.0
333,18,7,6,0,5,7,64.0,35.41015155159971,0,0.0
438,18,4,3,5,6,3,57.14285714285714,49.566473988439306,1,5.971428571427406
439,18,4,3,5,6,6,66.66666666666666,48.0796403339756,1,25.257142857142423
440,19,5,4,5,5,2,57.14285714285714,44.37807749946479,1,33.199999999999896
441,23,7,6,5,5,4,64.28571428571428,41.44026974951831,1,51.86666666666673
442,22,7,7,3,5,6,75.0,38.14600727895526,1,24.599999999999067
464,29,9,3,9,8,3,55.55555555555556,30.421942263864267,1,2.0999999999982144
465,30,10,5,8,7,5,60.0,30.111737148645222,1,41.65555555555534
466,31,10,9,6,6,11,72.0,28.8525576095214,1,30.371428571427384
467,26,10,6,6,4,8,68.18181818181819,27.94758166624462,1,38.56666666666398
468,26,10,6,6,4,8,68.18181818181819,29.278931375031654,0,0.0
558,42,12,6,12,12,6,58.33333333333333,49.19583290567587,1,20.700000000000163
559,41,13,6,10,12,9,62.16216216216216,47.64343631325054,1,0.6000000000017103
560,45,16,7,10,12,12,67.64705882352942,44.954839371856714,1,37.400000000000766
561,49,15,12,10,12,11,66.66666666666666,42.40685620445448,1,116.19999999999963
562,49,14,13,10,12,14,73.33333333333333,39.08703684696705,1,34.600000000000186
563,44,11,12,9,12,16,75.0,38.77955844446935,1,3.8285714285724026
564,38,8,10,9,11,13,70.96774193548387,39.70581642945197,1,24.246153846154694
565,31,9,8,5,9,12,70.0,41.37453771153199,1,28.933333333334144
574,0,0,0,0,0,1,53.33333333333333,30.380211273284413,1,0.2999999999997449
589,18,6,5,7,0,7,58.13953488372093,27.69448158502492,1,12.285714285715787
591,26,8,9,9,0,2,51.92307692307693,36.82546829971181,1,111.29999999999862
592,19,8,9,2,0,2,51.92307692307693,38.458813640730064,1,124.24999999999909
610,18,3,4,5,6,6,65.0,33.46581924340104,1,41.20000000000124
611,21,4,5,5,7,7,66.66666666666666,30.747832837365763,1,59.23333333333281
612,23,4,6,6,7,7,66.66666666666666,30.660175960667612,1,61.14285714285739
613,20,5,8,0,7,8,68.18181818181819,30.88821322292664,1,99.1333333333344
614,21,5,8,1,7,8,68.18181818181819,31.97114762582482,1,28.311111111110066
615,17,0,8,2,7,9,71.42857142857143,34.39368338965428,1,31.89999999999804
