weighted,fx,fn,sx,sn,day_count,RSI,vgo,success,profit
-27,-6,-8,-8,-5,-6,36.36363636363636,38.073324804094035,1,20.93636363636353
-26,-6,-7,-8,-5,-6,36.36363636363636,40.19470654086039,1,31.490909090909902
-21,-5,-4,-7,-5,-5,38.095238095238095,44.5694066847913,1,28.29999999999888
-20,-5,-5,-6,-4,-3,43.47826086956522,48.394370702063014,1,52.99999999999861
-18,-7,-5,-4,-2,-3,43.47826086956522,49.42487605949144,1,49.199999999998134
-32,-7,-8,-7,-10,-8,30.0,37.01603230449385,1,43.199999999998795
-16,-7,-4,-4,-1,-3,43.47826086956522,50.378618263233655,1,51.49230769230684
-9,-2,-2,-3,-2,-2,25.0,27.405653574347383,1,0.09999999999843467
-41,-8,-11,-12,-10,-11,21.05263157894737,43.92407458373469,1,80.83333333333442
-8,-2,-2,-2,-2,-2,0.0,30.044334467470872,1,6.622222222221197
-39,-12,-6,-13,-8,-14,15.0,37.170687410047286,1,46.981818181817125
-37,-10,-8,-10,-9,-13,15.78947368421052,35.05123021040367,1,36.49999999999931
-9,-3,-2,-2,-2,-1,45.45454545454546,35.08748689076558,1,42.571428571427376
-11,-3,-3,-3,-2,-3,38.46153846153846,31.169312169312168,1,19.257142857143084
-13,-4,-3,-3,-3,-3,38.46153846153846,36.163100989187946,1,25.399999999999867
-22,-3,-6,-6,-7,-4,37.5,36.35527833862129,1,29.771428571427894
-14,-6,-7,-1,0,-3,39.99999999999999,43.18317173257798,1,73.49230769230886
-9,-6,-2,-1,0,-3,39.99999999999999,41.79140792388423,1,70.30769230769174
-20,-6,-8,-3,-3,-2,43.75,43.23691760177216,1,76.72727272727275
-15,-6,-7,-2,0,-2,43.75,43.97864691142826,1,86.78181818181807
-24,-4,-7,-6,-7,-2,43.75,40.744634491774704,1,72.26666666666715
-22,-5,-8,-4,-5,-2,43.75,42.602316882739586,1,106.23333333333429
-33,-6,-9,-9,-9,-7,26.66666666666667,36.290001172195524,1,42.50000000000087
-33,-7,-9,-9,-8,-10,18.75,34.574493025436645,1,37.27777777777996
-36,-9,-9,-9,-9,-10,18.75,32.964482475676945,1,12.371428571427145
-35,-8,-9,-9,-9,-8,25.0,34.76946821396476,1,46.500000000000426
-32,-9,-9,-9,-5,-8,25.0,36.115148673465406,1,69.8999999999983
-20,-8,0,-9,-3,-13,15.78947368421052,47.11249169694838,1,3.6545454545477973
-31,-9,-9,-9,-4,-12,20.0,38.23408744578596,1,34.250000000000114
-23,-6,-5,-6,-6,-5,30.769230769230774,40.71060784570406,1,35.60000000000008
-26,-6,-8,-6,-6,-7,23.07692307692308,41.59052231967535,1,23.899999999998922
-27,-9,-3,-9,-6,-13,15.78947368421052,42.64955261204235,1,45.69999999999963
-24,-6,-6,-6,-6,-8,21.42857142857143,42.99777457782432,1,34.399999999998876
-20,-6,-6,-6,-2,-10,18.75,49.78836904241364,1,17.06666666666523
-25,-6,-6,-6,-7,-8,21.42857142857143,47.342151289899434,1,48.6999999999993
-4,-2,-1,-1,0,-2,37.5,39.4388327721661,1,13.971428571428746
-2,-1,-1,0,0,-1,42.857142857142854,37.17795236313754,1,14.315384615386506
-13,-3,-2,-5,-3,-1,45.45454545454546,42.85467847196242,1,19.299999999999873
-12,-3,-2,-4,-3,-1,45.45454545454546,44.96217317204972,1,31.771428571427673
-12,-3,-2,-4,-3,-1,45.45454545454546,46.01550484266534,1,36.95714285714358
-12,-5,-3,-3,-1,-3,33.33333333333333,44.78509373571102,1,47.36363636363761
-10,-5,-1,-3,-1,-3,33.33333333333333,41.28528079145363,1,50.70909090909126
-4,-1,-2,0,-1,-2,39.99999999999999,34.14026095060578,1,18.799999999998818
-2,-1,-1,0,0,-1,45.45454545454546,35.925823943065325,1,31.29999999999855
